Symbol,Name,Exchange,Sector,Industry,SCTR,Universe,Close,Volume,Market Cap
TBI,True Blue Inc.,NYSE,Consumer Discretionary,Business Training Agencies,37.6,sml,19.49,117366,643.17
INGN,"Inogen, Inc.",NASD,Health Care,Medical Equipment,60.1,sml,27.89,109360,641.47
ARLO,"Arlo Technologies, Inc.",NYSE,Technology,Software,73.5,sml,7.34,462559,638.58
CENX,Century Aluminum Co.,NASD,Materials,Aluminum,6.1,sml,6.99,2246413,636.09
CPF,"CPB, Inc.",NYSE,Financial,Banks,46.2,sml,22.59,92462,632.52
BIG,"Big Lots, Inc.",NYSE,Consumer Discretionary,Broadline Retailers,17.3,sml,21.78,925516,631.62
HSII,"Heidrick & Struggles Intl, Inc.",NASD,Consumer Discretionary,Business Training Agencies,36.7,sml,31.38,99665,627.6
ILPT,Industrial Logistics Properties Trust,NASD,Real Estate,Industrial & Office REITs,5.9,sml,9.64,696019,626.6
VNDA,Vanda Pharmaceuticals Inc.,NASD,Health Care,Pharmaceuticals,43.5,sml,11.03,208868,617.68
ONL,Orion Office REIT Inc.,NYSE,Real Estate,Industrial & Office REITs,,,10.83,429163,617.31
CRMT,"America's Car-Mart, Inc.",NASD,Consumer Discretionary,Specialty Retailers,86.8,sml,102.74,49918,616.44
QNST,QuinStreet Inc.,NASD,Communication Services,Media Agencies,39.7,sml,11.15,165217,613.25
TRST,TrustCo Bank Corp NY,NASD,Financial,Banks,77.9,sml,31.95,111847,607.05
CLW,Clearwater Paper Corp.,NYSE,Materials,Paper,87.1,sml,35.7,64381,606.9
CHRS,Coherus BioSciences Inc.,NASD,Health Care,Biotechnology,26.7,sml,7.88,524527,606.76
RUTH,Ruths Hospitality Group Inc.,NASD,Consumer Discretionary,Restaurants & Bars,68.3,sml,17.65,523176,600.1
DXPE,"DXP Enterprises, Inc.",NASD,Industrial,Industrial Suppliers,92.3,sml,31.51,45843,598.69
COLL,"Collegium Pharmaceutical, Inc.",NASD,Health Care,Pharmaceuticals,74.5,sml,17.56,176593,597.04
HIBB,Hibbett Sports Inc.,NASD,Consumer Discretionary,Specialty Retailers,38.9,sml,45.92,216199,596.96
NTGR,"NetGear, Inc.",NASD,Technology,Telecom Equipment,39.8,sml,20.22,144064,586.38
SXC,SunCoke Energy Inc.,NYSE,Energy,Coal,66.7,sml,7.01,567405,581.83
FARO,"FARO Technologies, Inc.",NASD,Technology,Electronic Equipment,22.4,sml,32.28,89099,581.04
PLCE,"The Children's Place, Inc.",NASD,Consumer Discretionary,Apparel Retailers,31.7,sml,44.43,429708,577.59
CLDT,Chatham Lodging Trust,NYSE,Real Estate,Hotel & Lodging REITs,66.8,sml,11.74,142891,575.26
HNGR,Hanger Inc.,NYSE,Health Care,Health Care Providers,41.6,sml,14.75,182069,575.25
ETD,Ethan Allen Interiors Inc.,NYSE,Consumer Discretionary,Furnishings,76.7,sml,22.8,133960,570
CYH,Community Health Systems,NYSE,Health Care,Health Care Providers,7.2,sml,4.11,1619054,554.85
SRDX,"Surmodics, Inc.",NASD,Health Care,Medical Supplies,63.4,sml,38.81,30547,543.34
REX,Rex American Resources Corp.,NYSE,Materials,Specialty Chemicals,72.4,sml,90.23,54474,541.38
ANIP,"ANI Pharmaceuticals, Inc.",NASD,Health Care,Pharmaceuticals,63.9,sml,31.67,54255,538.39
CARA,Cara Therapeutics Inc.,NASD,Health Care,Biotechnology,56.4,sml,9.9,531212,534.6
EGRX,"Eagle Pharmaceuticals, Inc.",NASD,Health Care,Pharmaceuticals,40.5,sml,41.09,72829,534.17
BJRI,BJ's Restaurants Inc.,NASD,Consumer Discretionary,Restaurants & Bars,36.2,sml,23.22,326348,534.06
GPMT,Granite Point Mortgage Trust Inc.,NYSE,Real Estate,Residential REITs,56.7,sml,9.86,210846,532.44
ZUMZ,Zumiez Inc.,NASD,Consumer Discretionary,Apparel Retailers,30.1,sml,28.01,217429,532.19
AMBC,"Ambac Financial Group, Inc.",NASD,Financial,Property-Casualty Insurance,57.3,sml,11.74,519643,528.3
WSR,Whitestone REIT,NYSE,Real Estate,Diversified REITs,80.6,sml,10.76,227730,527.24
IVR,Invesco Mortgage Capital Inc.,NYSE,Real Estate,Mortgage REITs,47.9,sml,15.87,958641,523.71
MCS,Marcus Corp.,NYSE,Consumer Discretionary,Recreational Services,84.7,sml,16.5,158705,511.5
AAN,Aarons Company Inc.,NYSE,Consumer Discretionary,Durable Household Products,36.3,sml,16.27,171185,504.37
OFIX,Orthofix Medical Inc.,NASD,Health Care,Medical Supplies,33.7,sml,24.67,49115,493.4
WW,Weight Watchers Intl Inc.,NASD,Consumer Discretionary,Special Consumer Services,18,sml,7.03,1298120,492.1
CPSI,Computer Programs and Systems Inc.,NASD,Technology,Software,88.5,sml,32.58,40793,488.7
NPK,National Presto Inds Inc.,NYSE,Consumer Discretionary,Durable Household Products,64.5,sml,69.62,18399,487.34
RMAX,RE/Max Holdings Inc.,NYSE,Real Estate,Real Estate Services,61.9,sml,25.09,116838,476.71
KOP,Koppers Holdings Inc.,NYSE,Materials,Specialty Chemicals,34.2,sml,22.54,76227,473.34
BBBY,"Bed Bath & Beyond, Inc.",NASD,Consumer Discretionary,Specialty Retailers,7.3,sml,5.81,18301732,464.8
DOUG,Douglas Elliman Inc.,NYSE,Real Estate,Real Estate Services,,,5.68,213430,460.08
SENEA,Seneca Foods Corp.,NASD,Consumer Staples,Food Products,91.8,sml,57.29,37619,458.32
OSPN,OneSpan Inc.,NASD,Technology,Software,28.5,sml,11.45,155973,458
ZIMV,ZimVie Inc.,NASD,Health Care,Medical Equipment,,,17.46,106743,453.96
PETS,"PetMed Express, Inc.",NASD,Consumer Staples,Drug Retailers,56.7,sml,21.53,250072,452.13
HVT,"Haverty Furniture Cos., Inc.",NYSE,Consumer Discretionary,Home Improvement Retailers,66.6,sml,25.95,78160,441.15
OPRX,OptimizeRx Corp.,NASD,Communication Services,Publishing,13.1,sml,24.36,438610,438.48
GCI,"Gannett Co., Inc.",NYSE,Communication Services,Publishing,20.1,sml,2.93,595796,430.71
DHC,Diversified Healthcare Trust,NASD,Real Estate,Specialty REITs,18.8,sml,1.78,1476401,425.42
EZPW,"EZCORP, Inc.",NASD,Financial,Consumer Finance,89.7,sml,7.46,266960,425.22
CHUY,Chuy's Holdings Inc.,NASD,Consumer Discretionary,Restaurants & Bars,45,sml,21.28,74629,404.32
HLX,"Helix Energy Solutions Group, Inc.",NYSE,Energy,Oil Equipment & Services,20.3,sml,2.65,2066802,402.8
HAYN,Haynes International Inc.,NASD,Materials,Nonferrous Metals,48.5,sml,32.75,68298,393
HT,Hersha Hospitality Trust,NYSE,Real Estate,Hotel & Lodging REITs,86,sml,10,178324,390
HSC,Harsco Corp.,NYSE,Industrial,Diversified Industrials,3.1,sml,4.91,1089361,387.89
PNTG,"Pennant Group, Inc.",NASD,Health Care,Health Care Providers,30.1,sml,13.05,119678,378.45
FSP,Franklin Street Properties Corp.,AMEX,Real Estate,Industrial & Office REITs,22.4,sml,3.67,679896,378.01
BOOM,DMC Global Inc.,NASD,Industrial,Industrial Machinery,15.4,sml,19.52,76398,370.88
UVE,Universal Insurance Holdings Inc.,NYSE,Financial,Property-Casualty Insurance,28.5,sml,11.67,150424,361.77
LOCO,"El Pollo Loco Holdings, Inc.",NASD,Consumer Discretionary,Restaurants & Bars,33.8,sml,9.77,65709,361.49
UEIC,"Universal Electronics, Inc.",NASD,Technology,Electronic Equipment,43.7,sml,27.7,44271,360.1
TG,Tredegar Corp.,NYSE,Materials,Specialty Chemicals,50.2,sml,10.28,116824,349.52
FOSL,"Fossil Group, Inc.",NASD,Consumer Discretionary,Clothing & Accessories,28.7,sml,6.54,331573,340.08
ANIK,"Anika Therapeutics, Inc.",NASD,Health Care,Medical Supplies,30.5,sml,22.63,85854,339.45
TUP,Tupperware Brands Corp.,NYSE,Consumer Discretionary,Durable Household Products,13.4,sml,7.19,411194,330.74
CIR,"Circor Intl, Inc.",NYSE,Industrial,Industrial Machinery,21.1,sml,15.88,63920,317.6
SLQT,SelectQuote Inc.,NYSE,Financial,Life Insurance,2.2,sml,1.89,1018962,309.96
FF,FutureFuel Corp.,NYSE,Materials,Specialty Chemicals,48.2,sml,7.01,187702,308.44
APEI,American Public Education Inc.,NASD,Consumer Discretionary,Special Consumer Services,40.2,sml,16.09,31916,305.71
LL,"LL Flooring Holdings, Inc.",NYSE,Consumer Discretionary,Home Improvement Retailers,24.3,sml,9.97,117906,299.1
ZYXI,ZYNEX Inc.,NASD,Health Care,Medical Equipment,61.3,sml,7.62,242439,297.18
ZEUS,"Olympic Steel, Inc.",NASD,Materials,Steel,81.5,sml,26.66,78675,293.26
CMTL,Comtech Telecommunications Corp.,NASD,Technology,Telecom Equipment,23.7,sml,10.78,341059,291.06
POWL,"Powell Industries, Inc.",NASD,Technology,Electrical Components,73.4,sml,24.24,19522,290.88
OIS,Oil States Intl,NYSE,Energy,Oil Equipment & Services,23.6,sml,4.68,770873,290.16
MPAA,Motorcar Parts of America Inc.,NASD,Consumer Discretionary,Auto Parts,63.9,sml,14.99,26492,284.81
GLT,Glatfelter Corporation,NYSE,Materials,Paper,8.8,sml,6.37,330123,280.28
DBD,"Diebold Nixdorf, Inc.",NYSE,Technology,Computer Hardware,19.8,sml,3.48,1094043,274.92
CATO,Cato Corp.,NYSE,Consumer Discretionary,Apparel Retailers,52.2,sml,12.62,64084,265.02
UFI,"Unifi, Inc.",NYSE,Consumer Discretionary,Clothing & Accessories,26.5,sml,13.63,35316,245.34
PKE,Park Aerospace Corp.,NYSE,Technology,Electrical Components,53.8,sml,11.9,39547,238
JYNT,The Joint Corp.,NASD,Health Care,Health Care Providers,11.1,sml,16.82,111864,235.48
